index,d__Bacteria,Unassigned,d__Archaea,d__Eukaryota,Insect Order
SRR5815831,33179,0,14,0,Hymenoptera
SRR5815832,25418,0,0,0,Hymenoptera
SRR5815834,3991,0,60,0,Hymenoptera
SRR5815835,27963,0,142,0,Hymenoptera
SRR5723263,6800,42673,10940,0,Coleoptera
SRR5723264,5250,2577,2607,0,Lepidoptera
SRR5723265,6097,20407,12563,0,Coleoptera
SRR5723266,16735,48847,8198,0,Coleoptera
SRR5723267,5780,17899,10907,0,Coleoptera
SRR5723268,24079,9833,14750,0,Coleoptera
SRR5723269,7561,33257,1002,0,Diptera
SRR5723270,22030,16358,4381,0,Coleoptera
SRR5723271,7551,12127,26039,0,Lepidoptera
SRR5724519,3212,24,67,0,Coleoptera
SRR5724520,8798,600,46,0,Coleoptera
SRR5724521,6117,169,0,0,Coleoptera
SRR5724523,2687,0,0,0,Coleoptera
SRR5724524,2166,188,194,0,Lepidoptera
DRR163068,0,32881,0,0,Hymenoptera
DRR163069,17,39473,0,0,Hymenoptera
DRR163070,0,36865,0,0,Hymenoptera
DRR163071,0,24581,0,0,Hymenoptera
DRR163072,0,45567,0,0,Hymenoptera
DRR163073,0,48386,0,0,Hymenoptera
DRR163074,0,34738,0,0,Hymenoptera
DRR163075,0,59258,0,0,Hymenoptera
DRR163076,0,71696,0,0,Hymenoptera
DRR163077,44,54455,0,0,Hymenoptera
DRR163078,0,41070,0,0,Hymenoptera
DRR163079,0,70702,0,0,Hymenoptera
DRR163080,0,55939,0,0,Hymenoptera
DRR163081,0,65571,0,0,Hymenoptera
DRR163082,0,78932,0,0,Hymenoptera
DRR163083,0,59300,0,0,Hymenoptera
DRR163084,0,44965,0,0,Hymenoptera
SRR24099866,39,11795,0,214,Hymenoptera
SRR24099867,71,21828,97,198,Hymenoptera
SRR24099868,59,41614,323,488,Hymenoptera
SRR24099869,23,16719,196,111,Hymenoptera
SRR11849444,35651,0,0,0,Diptera
SRR11849445,8269,219,150,0,Diptera
SRR11849448,8457,27,9,0,Diptera
SRR11849449,2001,107,0,0,Diptera
SRR11849450,3482,98,0,0,Diptera
SRR11849452,6321,159,0,0,Diptera
SRR11849453,15119,207,30,0,Diptera
SRR11849455,16776,0,0,0,Diptera
