RUN	shannon_entropy
SRR14308490	3.4433652087046167
SRR14308491	3.351663397420908
SRR14308492	1.998427261415877
SRR14308493	3.1319341794388307
SRR14308494	2.1068652438404083
SRR14308495	1.7055666897622332
SRR14308496	2.5642378577380853
SRR14308497	3.1129201759035388
SRR14308498	3.085002788774034
SRR14308499	3.562650859667967
SRR14308500	2.117268669393929
SRR14308501	2.892103549085668
SRR14308502	2.5798164541318145
SRR14308503	3.1931842143910227
SRR14308504	2.5919433358748014
SRR14308505	2.9977803920749704
SRR14308506	2.8283351308927225
SRR10425508	0.1587353109248392
SRR10425515	0.0491979015104234
SRR10425520	0.3939224258874979
SRR28549396	2.815842036913792
SRR28549397	4.660022103917584
SRR28549398	1.6862697531832087
SRR28549399	0.5629425204549333
SRR28549400	3.130170868951786
SRR28549401	3.8432492346664766
SRR28549402	4.561705187190239
SRR28549403	4.445739621258213
SRR28549404	5.40015307348123
SRR28549405	4.519952202533281
SRR28549406	1.9456736375672337
SRR28549407	6.956125927970954
SRR28549408	6.615214924242703
SRR28549409	6.540874936380924
SRR28549410	2.573566305093302
SRR28549411	5.922050076859324
SRR28549412	5.619560461677825
SRR28549413	6.871495974009726
SRR28549414	6.589501528329688
SRR28549415	7.095970243228803
SRR28549416	6.516353868271983
SRR28549417	6.627388018758495
SRR28549418	5.44055872447576
SRR28549419	5.189698174812665
SRR28549420	4.488768833724341
SRR28549421	1.9030520593438296
SRR28549422	6.405802594413602
SRR28549423	6.2527682182806
SRR28549424	5.824701906684399
SRR28549425	6.043766794355841
SRR28549426	4.823483920429601
SRR28549427	5.955801550793273
SRR28549428	5.928090934098178
SRR28549429	5.632976595208545
SRR28549430	2.6432959118903527
SRR28549431	0.61535124726574
SRR28549432	0.219255932064702
SRR28549433	1.8409903338571645
SRR28549434	1.5185186738382852
SRR28549435	1.379062079943481
SRR28549436	2.573066003388986
SRR28549437	1.7111560730871664
SRR28549438	4.46489101854265
SRR28549439	1.3080952734530522
SRR28549440	7.034095719522374
SRR28549443	4.212972256340262
SRR28549444	3.524057559718491
SRR28549445	1.4237256128958111
SRR28549446	0.5276543066313606
SRR28549448	5.243024630276511
SRR28549449	5.98846346498782
SRR28549450	6.236954589640109
SRR28549451	6.024432265377965
SRR28549452	5.528095386136583
SRR28549453	0.880723047347728
SRR28549454	5.95458667499642
SRR28549455	5.603296942757339
SRR28549456	5.610286123529643
SRR28549457	6.2262599341450775
SRR28549458	4.592819730971002
SRR28549459	3.1994713399751533
SRR28549461	6.430831581067175
SRR28549462	6.8528671421813865
SRR28549463	6.591239929881315
SRR28549464	1.113569627643502
SRR28549465	4.539874890273072
SRR28549466	6.1626318172638985
SRR28549467	5.94841835478354
SRR28549468	6.546094165910065
SRR28549469	5.666593561234923
SRR28549470	6.303304170502762
SRR28549471	1.969029882430728
SRR28549472	5.869050609375778
SRR28549473	6.507108720800311
SRR28549474	6.956789835925541
SRR28549475	6.504303104676893
SRR28549476	6.090877095673254
SRR28549477	5.074368847045858
SRR28549478	1.6863446730316185
SRR28549479	0.6891427221764169
SRR28549480	4.223783535873281
SRR28549481	4.524475867805817
SRR28549482	1.988639117172857
SRR28549483	2.2145793484150533
SRR28549484	3.3927075257676864
SRR28549485	2.6958792585271576
SRR28549486	4.194473543662719
SRR28549487	4.5864324715660905
SRR28549488	1.2421559814138612
SRR28549489	5.793503382965256
SRR28549490	2.113491907740565
SRR28549491	2.128722908412365
SRR28549492	4.361772991300357
SRR28549493	2.135157948040465
SRR28549494	0.9033075388968675
SRR28549495	4.323881263851498
SRR28549496	4.89299847122776
SRR28549497	5.181931137708364
SRR28549498	6.48749029610884
SRR28549499	3.184532532590142
SRR28549500	2.986597302253314
SRR28549501	2.984673406012004
SRR28549502	0.7881484793742324
SRR28549503	1.90275973161088
SRR28549504	3.9163801182138833
SRR28549505	2.3968740193989646
SRR28549506	3.456424466455794
SRR28549507	3.216953078164021
SRR28549509	1.1782401716447737
SRR28549510	4.304502590001988
SRR28549511	5.916316961568301
SRR28549512	3.1287660710823357
SRR28549513	4.708124579801094
SRR28549514	4.509725563776803
SRR28549515	3.3618692670800923
SRR28549516	3.644344567308005
SRR28549517	5.115624272029176
SRR28549518	4.558067669742157
SRR28549519	5.822214711851686
SRR28549520	0.4355085227378601
SRR28549521	5.728753340725786
SRR28549522	6.839702873398452
SRR28549523	6.307840529755369
SRR28549524	6.388272679556084
SRR28549525	6.422597861307909
SRR28549526	5.960996436061492
SRR28549527	5.615198088105102
SRR28549528	5.577402299405069
SRR28549529	2.5902777718328105
SRR28549530	2.292639836889351
SRR28549531	0.5320277198361043
SRR28549532	0.4963984303080782
SRR28549533	1.3831955065288122
SRR28549534	0.0560215894346452
SRR28549535	1.083305477930021
SRR28549536	2.9081149006327944
SRR28549537	2.856917239014164
SRR28549538	2.5328050983301003
SRR28549539	0.0928441010072251
SRR28549540	3.639581221138771
SRR28549541	3.465439969812738
SRR28549542	4.012354371935932
SRR28549543	0.5061419231153532
SRR28549544	2.7571208007142176
SRR28549545	0.1270282239702447
SRR28549546	0.8784920336008333
SRR28549547	4.800865455572064
SRR28549550	1.7352845514044557
SRR28549551	1.8348112693078331
SRR28549552	0.7409568843562957
SRR28549553	0.1268336032789068
SRR28549554	1.5017188156816903
SRR28549555	1.6381424500292971
SRR28549557	1.7606679223959536
SRR28549558	2.0661475962527325
SRR28549559	4.909581776819239
SRR28549560	1.6111378920920028
SRR28549561	3.563509422069965
SRR28549563	5.337559782363019
SRR28549564	2.7401684559012125
SRR28549565	3.070268201786112
SRR28549566	2.4853901838499985
SRR28549567	0.7335392792670354
SRR28549568	6.681461093897694
SRR28549569	4.459466511325895
SRR28549570	7.176815305458426
SRR28549571	7.114447976120297
SRR28549572	6.044010751456805
SRR28549573	0.7751179065532046
SRR28549574	6.968882141349506
SRR28549575	6.9809386589697375
SRR28549576	2.8539640254075134
SRR28549577	7.055722978274706
SRR28549578	7.324062553472295
SRR28549579	6.556831746267749
SRR28549580	6.464540696559977
SRR28549581	4.75404043656832
SRR28549582	7.392877036247604
SRR28549583	7.1756339351236536
SRR28549584	2.779117007043717
SRR28549585	1.8665425029316671
SRR28549586	4.7015798390668495
SRR28549587	5.383897757294637
SRR28549588	4.911182975344849
SRR28549589	2.9309811491016484
SRR28549590	4.253699574728693
SRR28549591	6.252269978516308
SRR28549592	6.183394318052275
SRR28549593	2.5849334868163525
SRR28549594	3.022447638584646
SRR28549595	4.6055028061543
SRR28549596	1.5786267509223662
SRR28549597	2.424550633554042
SRR28549598	4.379929599531664
SRR28549599	2.9766049544641584
SRR28549600	3.369502088880032
SRR28549601	3.613007510344077
SRR28549602	3.074467541390195
SRR28549603	3.823024477743756
SRR28549604	0.4285711669216795
SRR28549605	2.070066946689089
SRR28549606	0.6798588300003526
SRR28549608	0.4579545693858908
SRR28549609	4.357622000007175
SRR28549610	5.753281630223468
SRR28549611	4.622875452763755
SRR28549612	1.8393805261035303
SRR28549613	1.6250557648331938
SRR28549614	3.1870148548028343
SRR28549615	2.5099135853962817
SRR28549616	2.735802932958532
SRR28549617	1.316000956619973
SRR28549618	2.6395531662845126
SRR28549619	0.9399282237340104
SRR28549620	0.6924463164396156
SRR28549621	4.929697090988388
ERR1727163	0.92216656414384
ERR1727164	1.7953497372754803
ERR1727166	1.1149282198323789
ERR1727172	1.954275983224894
ERR1727186	2.8300668170271046
ERR1727187	4.525890187983833
