SampleID,PC1,PC2
DRR182978,-0.308344996,-0.381812371
DRR182979,-0.287521774,-0.415909643
DRR182980,-0.302104232,-0.3592678
DRR182981,-0.262508293,-0.356101909
DRR182982,-0.323909749,-0.417903809
DRR182983,0.076400844,0.026646385
DRR182984,0.004782437,0.005997363
DRR182985,-0.122396022,0.105922553
DRR182986,0.002799799,0.019501014
DRR182987,-0.030310017,0.008111481
DRR182988,0.13878894,-0.027908966
DRR182989,0.18609961,-0.015991658
DRR182990,-0.183511147,0.217873718
DRR182991,-0.041517192,0.058591033
DRR182992,0.325475165,-0.026265356
DRR182993,0.368985876,-0.027475195
DRR182994,0.349921535,-0.02661072
DRR182995,0.281663681,-0.031008447
DRR182996,-0.019065766,0.000309586
DRR182997,-0.241939493,-0.299743016
SRR5815782,0.363833396,-0.161690552
SRR5815783,-0.52132029,-0.296455811
SRR5815784,-0.55374806,-0.326958756
SRR5815785,-0.541615983,-0.316250927
SRR5815786,-0.55112688,-0.324219899
SRR5815787,-0.502118437,-0.280080736
SRR5815788,-0.549441882,-0.324252576
SRR5815789,-0.113605261,-0.008618833
SRR5815791,-0.091731885,0.045431608
SRR5815792,-0.514964209,-0.291026379
SRR5815793,0.363399275,-0.141940541
SRR5815795,0.365800095,-0.162960459
SRR5815796,0.363302394,-0.20686172
SRR5815797,0.36561474,-0.156295454
SRR5815798,0.365066676,-0.151412847
SRR5815799,0.366144796,-0.17187237
SRR5815800,0.298276446,0.008081291
SRR5815801,-0.182414052,0.17657709
SRR5815803,-0.051876681,0.454827784
SRR5815804,0.274370053,0.111030054
SRR5815805,0.189970725,0.181755452
SRR5815806,-0.157196297,0.503062051
SRR5815807,-0.124594161,0.371481833
SRR5815808,-0.156898228,0.458599569
SRR5815809,-0.558677308,-0.33085528
SRR5815810,-0.546916372,-0.319770335
SRR5815817,0.361998849,-0.139989805
SRR5815818,0.350143665,-0.099915928
SRR5815819,0.36621445,-0.170833214
SRR5815820,0.358924381,-0.170605708
SRR5815821,0.358799172,-0.182409187
SRR5815822,-0.300972521,0.546101322
SRR5815823,0.189076677,0.232766669
SRR5815824,-0.154406399,0.504589653
SRR5815825,-0.279742648,0.3821176
SRR5815826,0.028892894,0.379284189
SRR5815829,-0.299513405,0.551080726
SRR5815830,0.285660387,-0.067308176
SRR5815831,0.363632994,-0.14570814
SRR5815832,0.366014109,-0.179154779
SRR5815834,0.050027607,0.362442526
SRR5815835,0.357717178,-0.141781004
SRR14875624,-0.139062678,0.313543179
SRR14875625,-0.056686117,0.2131215
SRR14875626,0.780427742,-0.038763094
SRR14875627,-0.205644333,-0.152430595
SRR14875628,-0.165476742,-0.354691764
SRR14875629,-0.213557872,0.019220774
SRR6207224,0.625550489,0.183622215
SRR6207225,0.639319235,0.191673359
SRR6207226,0.094931293,-0.491405538
SRR6207227,-0.278933748,0.097803736
SRR6207228,-0.351960354,0.239128377
SRR6207229,-0.35516201,0.240573361
SRR6207230,-0.351970876,0.23083479
SRR6207231,-0.142778342,-0.326640692
SRR6207232,-0.329917323,0.040096451
SRR6207233,-0.32480089,-0.040016523
SRR6207234,0.635778345,0.185839684
SRR6207235,0.139944182,-0.551509222
SRR6690044,0.373454472,0.438979615
SRR6690045,-0.402756567,0.158410841
SRR6690046,-0.181014759,-0.178897058
SRR6690047,-0.413492936,0.151437722
SRR6690048,0.164328778,-0.207064976
SRR6690049,0.228873479,-0.1801752
SRR6690050,0.229519077,-0.433048524
SRR6690051,0.086334901,-0.227540115
SRR6690052,0.089757564,-0.434959273
SRR6690053,0.401072269,0.409455979
SRR6690054,-0.382702356,0.093320393
SRR6690055,0.418088463,0.369337267
SRR6690056,0.17178751,-0.178554463
SRR6690057,-0.428675431,0.149152041
SRR6690058,-0.354574463,0.070145749
SRR1747854,-0.137046511,-0.13369786
SRR1747855,-0.154024135,-0.028611298
SRR1747856,-0.1251283,-0.180790354
SRR1747857,-0.166537071,0.083165966
SRR1747858,-0.160721555,0.217479393
SRR1747859,-0.129042495,0.086645265
SRR1747860,-0.154033718,0.171629581
SRR1747861,-0.155147645,0.218861558
SRR1747862,-0.178973744,0.083167654
SRR1747863,-0.094410128,-0.192783819
SRR1747864,-0.114731648,-0.238484966
