RUN	pielou_evenness
SRR6129975	0.6190278048688426
SRR6129976	0.5896667668160188
SRR6129977	0.6147080752123285
SRR6129978	0.6706729457420619
SRR6129979	0.5324725643090917
SRR6129980	0.4534669034291167
SRR6129981	0.7013219337964662
SRR6129982	0.6547541396471951
SRR6129983	0.6913729448775234
SRR6129984	0.6354602250683663
SRR6129985	0.6897697401073879
SRR6129986	0.6554055380781506
SRR6129987	0.5550084357525611
SRR6129988	0.5852255244606448
SRR6129989	0.5779783425917001
SRR6129990	0.5980264790984441
SRR6129991	0.622280042224007
SRR6129992	0.5298681376231177
SRR6129993	0.5748604908054501
SRR6129994	0.5744084048625152
SRR6129995	0.4964069145393202
SRR6129996	0.4866396018529594
SRR6129997	0.5231007694616877
SRR6129998	0.4425145348285533
SRR6129999	0.5233047288090594
SRR6130000	0.5522483875296477
SRR6130001	0.6400501342833673
SRR6130002	0.6068594721266481
SRR6130003	0.4819788003135152
SRR6130004	0.5025552048641189
SRR6130005	0.5601701600684746
SRR6130006	0.575178336621069
SRR6130007	0.4671120718675016
SRR6130008	0.5130246700111374
SRR6130009	0.4715001424330762
SRR6130010	0.5411185442096801
SRR9912230	0.3777341330706092
SRR9912233	0.3536296648805843
SRR12841874	0.1442450019626109
SRR12841877	0.7184258863943424
SRR12841878	0.4777806642656712
SRR12841879	0.5100610059704546
SRR12841880	0.4212321568054485
SRR12841882	0.4108420043124933
SRR12841883	0.4066910661903851
SRR12841884	0.4486727926122519
SRR12841885	0.7605158186280755
SRR12841886	0.2315670859137864
SRR12841887	0.6941192896574923
SRR12841888	0.5098745231999672
SRR12841889	0.522105783277806
SRR12841890	0.381091496488192
SRR12841892	0.2884411389129918
SRR12841893	0.4426160099185448
SRR12841894	0.162770299991618
SRR12841895	0.2261211257269413
SRR12841896	0.293920206285141
SRR12841897	0.4012460122787147
SRR12841898	0.1869811464961662
SRR12841899	0.5506279128990329
SRR12841900	0.5243596413765595
SRR12841901	0.7128075415237598
SRR12841902	0.4361904780262967
SRR12841903	0.3595792019814295
SRR12841904	0.36215256342185
SRR12841905	0.3886455640890918
SRR12841906	0.3265927178144349
ERR4913277	0.3335798265314071
ERR4913278	0.2089916429181495
ERR4913279	0.0996739183634083
ERR4913280	0.1266578513171789
ERR4913281	0.0798208809471597
