RUN	pielou_evenness	shannon_entropy
SRR6129975	0.6190278048688426	2.718966612509908
SRR6129976	0.5896667668160188	2.629578624398981
SRR6129977	0.6147080752123285	2.8184134737390067
SRR6129978	0.6706729457420619	2.741350744352584
SRR6129979	0.5324725643090917	2.773890992245076
SRR6129980	0.4534669034291167	2.225112483856049
SRR6129981	0.7013219337964662	2.7399880676433943
SRR6129982	0.6547541396471951	2.558052790623373
SRR6129983	0.6913729448775234	2.701118456400163
SRR6129984	0.6354602250683663	2.5974200570595247
SRR6129985	0.6897697401073879	2.8194081817078525
SRR6129986	0.6554055380781506	2.560597733027268
SRR6129987	0.5550084357525611	2.1683572381250755
SRR6129988	0.5852255244606448	2.340902097842579
SRR6129989	0.5779783425917001	2.538664344154316
SRR6129990	0.5980264790984441	2.540373134330076
SRR6129991	0.622280042224007	2.775015295940689
SRR6129992	0.5298681376231177	2.250841440306354
SRR6129993	0.5748604908054501	2.397125132951045
SRR6129994	0.5744084048625152	2.633640996393688
SRR6129995	0.4964069145393202	2.3603590339305427
SRR6129996	0.4866396018529594	2.454801945834008
SRR6129997	0.5231007694616877	2.764797967601353
SRR6129998	0.4425145348285533	2.232217717219796
SRR6129999	0.5233047288090594	2.2985204777705457
SRR6130000	0.5522483875296477	2.3459111196420457
SRR6130001	0.6400501342833673	2.4368980291274087
SRR6130002	0.6068594721266481	2.370933564507552
SRR6130003	0.4819788003135152	2.365017242541064
SRR6130004	0.5025552048641189	2.1348180817665683
SRR6130005	0.5601701600684746	2.2406806402738986
SRR6130006	0.575178336621069	2.300713346484276
SRR6130007	0.4671120718675016	2.1130103975148
SRR6130008	0.5130246700111374	2.4662916725150192
SRR6130009	0.4715001424330762	2.24193013452333
SRR6130010	0.5411185442096801	2.917882953730537
SRR9912230	0.3777341330706092	0.877071495974569
SRR9912233	0.3536296648805843	0.9927639802880894
SRR12841874	0.1442450019626109	0.3728679209897989
SRR12841877	0.7184258863943424	1.66813324971338
SRR12841878	0.4777806642656712	1.3412998994901837
SRR12841879	0.5100610059704546	1.318488573513735
SRR12841880	0.4212321568054485	1.33527434526906
SRR12841882	0.4108420043124933	1.1533793229946894
SRR12841883	0.4066910661903851	1.2200731985711553
SRR12841884	0.4486727926122519	1.552152845185119
SRR12841885	0.7605158186280755	1.521031637256151
SRR12841886	0.2315670859137864	0.6500909984266044
SRR12841887	0.6941192896574923	1.9486392043150889
SRR12841888	0.5098745231999672	1.3180065225449944
SRR12841889	0.522105783277806	1.3496238711827755
SRR12841890	0.381091496488192	1.7472902207420689
SRR12841892	0.2884411389129918	0.8097566510512887
SRR12841893	0.4426160099185448	1.027722548676813
SRR12841894	0.162770299991618	0.665317552874909
SRR12841895	0.2261211257269413	0.7822505719816405
SRR12841896	0.293920206285141	0.825138337806777
SRR12841897	0.4012460122787147	1.203738036836144
SRR12841898	0.1869811464961662	0.4833392520344387
SRR12841899	0.5506279128990329	1.973980419593388
SRR12841900	0.5243596413765595	1.4720636201468449
SRR12841901	0.7128075415237598	1.8425807650701576
SRR12841902	0.4361904780262967	1.1275360288696124
SRR12841903	0.3595792019814295	1.1398391023596086
SRR12841904	0.36215256342185	1.2983033594073723
SRR12841905	0.3886455640890918	1.393279773331015
SRR12841906	0.3265927178144349	0.916861673864524
ERR4913277	0.3335798265314071	1.821156252305109
ERR4913278	0.2089916429181495	1.0804711198150454
ERR4913279	0.0996739183634083	0.3894150942814512
ERR4913280	0.1266578513171789	0.6274878596770972
ERR4913281	0.0798208809471597	0.361074700351528
ERR4913282	0.0869599033037252	0.418047119168817
ERR4913283	0.3368356112983107	1.713638656089999
ERR4913284	0.8438616792433344	5.063170075460007
ERR4913285	0.0705821073494752	0.2998276757666647
ERR4913286	0.1370873468089969	0.7031597998254326
ERR4913287	0.0751908625056043	0.330262135417128
ERR4913288	0.599567860405188	3.512257131542892
ERR4913289	0.0479240797487401	0.1872341364735455
ERR4913290	0.0482038542409523	0.183529181706437
ERR4913291	0.0688336169189969	0.3196534179938664
ERR4913292	0.0572563162066552	0.2340330649215831
ERR4913293	0.0646779206797974	0.2840859578709769
ERR4913294	0.1180272599327953	0.5547800204114741
ERR4913295	0.1579127813743938	0.8163972364747725
ERR4913296	0.1031734190368756	0.4730462573552649
ERR4913297	0.0537797376100429	0.1860473247302
